SEQN,CBD010,CBQ020,CBQ030,CBQ040,CBQ050,CBQ060,CBD070,CBD090,CBD110,CBD120,CBD130,CBQ140,CBD150,CBD160,CBD170,CBD180,CBQ190
41602.0,2.0,2.0,3.0,1.0,5.0,1.0,300.0,100.0,0.0,37.0,25.0,3.0,5.0,7.0,40.0,2.0,2.0
41603.0,2.0,1.0,2.0,1.0,5.0,5.0,400.0,0.0,200.0,85.0,10.0,1.0,10.0,7.0,120.0,7.0,7.0
41604.0,2.0,1.0,1.0,1.0,5.0,5.0,300.0,50.0,0.0,100.0,30.0,2.0,20.0,7.0,120.0,7.0,7.0
41605.0,2.0,1.0,1.0,3.0,2.0,2.0,600.0,0.0,110.0,0.0,0.0,2.0,15.0,7.0,90.0,7.0,7.0
41606.0,1.0,1.0,1.0,4.0,3.0,5.0,642.0,128.0,0.0,85.0,0.0,2.0,5.0,7.0,40.0,7.0,7.0
41607.0,2.0,1.0,1.0,1.0,1.0,2.0,150.0,64.0,0.0,214.0,15.0,2.0,2.0,7.0,60.0,4.0,4.0
41608.0,2.0,3.0,3.0,1.0,1.0,1.0,600.0,100.0,0.0,428.0,0.0,2.0,5.0,2.0,60.0,1.0,1.0
41609.0,2.0,1.0,1.0,2.0,5.0,2.0,300.0,0.0,0.0,0.0,35.0,3.0,7.0,7.0,60.0,1.0,1.0
41610.0,2.0,1.0,1.0,1.0,1.0,1.0,300.0,0.0,0.0,300.0,0.0,2.0,15.0,0.0,nan,2.0,2.0
41611.0,2.0,4.0,3.0,5.0,1.0,3.0,150.0,999999.0,0.0,0.0,0.0,4.0,30.0,1.0,60.0,0.0,nan
41612.0,2.0,2.0,1.0,2.0,5.0,1.0,30.0,0.0,300.0,100.0,0.0,2.0,20.0,1.0,30.0,21.0,10.0
41613.0,1.0,1.0,1.0,1.0,5.0,5.0,200.0,50.0,300.0,0.0,50.0,1.0,nan,5.0,60.0,15.0,15.0
41614.0,2.0,1.0,1.0,1.0,4.0,1.0,700.0,150.0,100.0,200.0,100.0,2.0,5.0,4.0,60.0,4.0,4.0
41615.0,2.0,4.0,3.0,2.0,5.0,2.0,350.0,100.0,60.0,120.0,60.0,2.0,5.0,5.0,60.0,5.0,5.0
41616.0,1.0,1.0,1.0,4.0,5.0,5.0,70.0,0.0,0.0,0.0,0.0,4.0,15.0,1.0,60.0,666.0,nan
41617.0,nan,1.0,2.0,5.0,1.0,1.0,175.0,30.0,25.0,0.0,0.0,2.0,5.0,5.0,20.0,666.0,nan
41618.0,2.0,2.0,1.0,1.0,1.0,1.0,500.0,30.0,150.0,300.0,0.0,2.0,10.0,4.0,10.0,4.0,4.0
41619.0,2.0,1.0,1.0,1.0,1.0,1.0,600.0,0.0,100.0,100.0,100.0,2.0,15.0,7.0,60.0,7.0,5.0
41620.0,2.0,1.0,1.0,1.0,5.0,1.0,800.0,171.0,50.0,100.0,0.0,2.0,10.0,5.0,60.0,16.0,13.0
41621.0,1.0,3.0,3.0,3.0,5.0,2.0,80.0,25.0,0.0,15.0,0.0,4.0,10.0,0.0,nan,7.0,0.0
41622.0,2.0,1.0,1.0,1.0,1.0,2.0,500.0,0.0,50.0,100.0,0.0,4.0,15.0,7.0,90.0,0.0,nan
41623.0,2.0,1.0,1.0,3.0,1.0,4.0,150.0,25.0,140.0,20.0,35.0,3.0,10.0,7.0,90.0,3.0,3.0
41624.0,2.0,1.0,1.0,1.0,5.0,1.0,300.0,150.0,0.0,0.0,0.0,3.0,10.0,7.0,60.0,7.0,7.0
41625.0,2.0,2.0,2.0,2.0,5.0,2.0,140.0,0.0,0.0,0.0,45.0,4.0,15.0,7.0,120.0,5.0,5.0
41626.0,2.0,1.0,4.0,1.0,4.0,1.0,600.0,100.0,150.0,600.0,0.0,1.0,2.0,4.0,120.0,2.0,2.0
41627.0,2.0,1.0,2.0,2.0,5.0,4.0,350.0,999999.0,100.0,50.0,0.0,2.0,15.0,7.0,60.0,7.0,7.0
41628.0,2.0,1.0,1.0,3.0,5.0,2.0,150.0,0.0,400.0,5.0,0.0,2.0,5.0,7.0,30.0,7.0,7.0
41629.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41630.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,0.0,500.0,125.0,0.0,2.0,5.0,6.0,60.0,15.0,15.0
41631.0,2.0,1.0,1.0,4.0,5.0,2.0,435.0,0.0,200.0,40.0,0.0,3.0,45.0,7.0,120.0,7.0,7.0
41632.0,2.0,1.0,2.0,2.0,5.0,1.0,642.0,0.0,0.0,50.0,171.0,2.0,7.0,4.0,120.0,6.0,4.0
41633.0,2.0,2.0,3.0,2.0,3.0,2.0,160.0,50.0,90.0,40.0,0.0,3.0,20.0,3.0,180.0,0.0,nan
